school,date,duration,people,level,price
gosnow,2026-11-16,full,2,1,110000
chase4snow,2026-11-16,full,2,2,88000
snowman,2026-11-16,full,2,2,100000
snowandflow,2026-11-16,full,2,2,78000
niss,2026-11-16,full,2,2,93000
baddies,2026-11-16,full,2,2,135000
fuyu,2026-11-16,full,2,2,0
pinnacle,2026-11-16,full,2,2,97000
gosnow,2026-11-16,full,2,2,110000
chase4snow,2026-11-16,full,2,3,89000
snowman,2026-11-16,full,2,3,110000
snowandflow,2026-11-16,full,2,3,0
niss,2026-11-16,full,2,3,93000
baddies,2026-11-16,full,2,3,135000
fuyu,2026-11-16,full,2,3,0
pinnacle,2026-11-16,full,2,3,110000
gosnow,2026-11-16,full,2,3,110000
chase4snow,2026-11-16,full,3,0,78000
snowman,2026-11-16,full,3,0,90000
snowandflow,2026-11-16,full,3,0,76000
niss,2026-11-16,full,3,0,93000
baddies,2026-11-16,full,3,0,135000
fuyu,2026-11-16,full,3,0,81000
pinnacle,2026-11-16,full,3,0,94000
gosnow,2026-11-16,full,3,0,110000
chase4snow,2026-11-16,full,3,1,88000
snowman,2026-11-16,full,3,1,95000
snowandflow,2026-11-16,full,3,1,82000
niss,2026-11-16,full,3,1,93000
baddies,2026-11-16,full,3,1,135000
fuyu,2026-11-16,full,3,1,0
pinnacle,2026-11-16,full,3,1,101000
gosnow,2026-11-16,full,3,1,110000
chase4snow,2026-11-16,full,3,2,88000
snowman,2026-11-16,full,3,2,100000
snowandflow,2026-11-16,full,3,2,82000
niss,2026-11-16,full,3,2,93000
baddies,2026-11-16,full,3,2,135000
fuyu,2026-11-16,full,3,2,0
pinnacle,2026-11-16,full,3,2,101000
gosnow,2026-11-16,full,3,2,110000
chase4snow,2026-11-16,full,3,3,89000
snowman,2026-11-16,full,3,3,110000
snowandflow,2026-11-16,full,3,3,0
niss,2026-11-16,full,3,3,93000
baddies,2026-11-16,full,3,3,135000
fuyu,2026-11-16,full,3,3,0
pinnacle,2026-11-16,full,3,3,114000
gosnow,2026-11-16,full,3,3,110000
chase4snow,2026-11-16,full,4,0,78000
snowman,2026-11-16,full,4,0,100000
snowandflow,2026-11-16,full,4,0,80000
niss,2026-11-16,full,4,0,93000
